Right.Knee.Angle,4.2295214185,5.3290000823,6.9004383213,8.7439346682,10.6964711732,12.6399963014,14.4862410297,16.1624822478,17.6104588549,18.7913619875,19.6902783442,20.3123813463,20.6804577814,20.8292043701,20.8009295045,20.6386855894,20.3761736533,20.0323262061,19.6133883849,19.118496421,18.5495458023,17.9136721145,17.2274738656,16.5120096949,15.7911764526,15.0883953059,14.425052856,13.8183730745,13.2823324698,12.8245648908,12.451099591,12.1655789078,11.9728291264,11.8813842526,11.9017842063,12.0501459016,12.3462348255,12.8093656826,13.4599617719,14.3113050483,15.3765778325,16.6835953089,18.238137996,20.0627541754,22.1858534096,24.6258352646,27.399732642,30.5085796949,33.9346185442,37.6391164135,41.5480848254,45.5562227367,49.5276011986,53.311316388,56.7483304844,59.7055938604,62.0753583399,63.7943542519,64.8371524097,65.2089985074,64.9387522211,64.053392673,62.5986556254,60.6113915129,58.1307278921,55.1891730058,51.8228831946,48.0638829592,43.9436084067,39.503205694,34.8024918809,29.9286964613,25.0049012198,20.1892746319,15.6705642867,11.6625980172,8.3690564022,5.9354224197,4.4437503286,3.9018915963
Right.Ankle.Vel,0,10.994786638,15.71438239,18.434963469,19.52536505,19.435251282,18.462447283,16.762412181,14.479766071,11.809031326,8.989163567,6.221030021,3.680764351,1.487465887,-0.282748656,-1.622439151,-2.625119361,-3.438474472,-4.189378212,-4.948919639,-5.689506187,-6.358736878,-6.861982489,-7.154641707,-7.208332423,-7.027811467,-6.633424499,-6.066797815,-5.360406047,-4.57767579,-3.734652998,-2.855206832,-1.927497814,-0.914448738,0.203999537,1.483616953,2.960889239,4.631308571,6.505960893,8.513432764,10.652727842,13.070174764,15.545426871,18.246161794,21.230992342,24.39981855,27.738973774,31.088470529,34.260388493,37.044978693,39.089684119,40.081379113,39.713784619,37.837151894,34.370140964,29.57263376,23.697644795,17.18995912,10.427981578,3.718460977,-2.702462863,-8.853595481,-14.547370476,-19.872641125,-24.806636208,-29.415548863,-33.662898112,-37.590002354,-41.202745525,-44.404027127,-47.007138131,-48.737954196,-49.237952415,-48.156265879,-45.187103452,-40.079662695,-32.93541615,-24.336339825,-14.916720911,-5.418587323
Right.Ankle.Accel,0,0,47.19595752,27.20581079,10.90401581,-0.90113768,-9.72803999,-17.00035102,-22.8264611,-26.70734745,-28.19867759,-27.68133546,-25.4026567,-21.93298464,-17.70214543,-13.39690495,-10.0268021,-8.13355111,-7.5090374,-7.59541427,-7.40586548,-6.69230691,-5.03245611,-2.92659218,-0.53690716,1.80520956,3.94386968,5.66626684,7.06391768,7.82730257,8.43022792,8.79446166,9.27709018,10.13049076,11.18448275,12.79617416,14.77272286,16.70419332,18.74652322,20.07471871,21.39295078,24.17446922,24.75252107,27.00734923,29.84830548,31.68826208,33.39155224,33.49496755,31.71917964,27.845902,20.44705426,9.91694994,-3.67594494,-18.76632725,-34.6701093,-47.97507204,-58.74988965,-65.07685675,-67.61977542,-67.09520601,-64.2092384,-61.51132618,-56.93774995,-53.25270649,-49.33995083,-46.08912655,-42.47349249,-39.27104242,-36.12743171,-32.01281602,-26.03111004,-17.30816065,-4.99998219,10.81686536,29.69162427,51.07440757,71.44246545,85.99076325,94.19618914,94.98133588
Left.Ankle.Angle,-98.1524135362,-97.8062878851,-97.1911593207,-96.2463274371,-94.9091667498,-93.1164605722,-90.814537755,-88.0009577736,-84.7548292696,-81.2483793494,-77.7500059629,-74.5951520004,-72.117159083,-70.5546319834,-69.9787544158,-70.2737543301,-71.1992867214,-72.483153899,-73.9058130389,-75.3412267657,-76.7343632716,-78.0636740306,-79.3149029476,-80.4697858618,-81.5132123855,-82.440236918,-83.2589689111,-83.9842637775,-84.6274713499,-85.1926151829,-85.6744590025,-86.0672301895,-86.3720447403,-86.6018413567,-86.7773692164,-86.913912349,-87.0109443456,-87.0402686903,-86.9452206315,-86.6630671827,-86.1566060706,-85.4346827765,-84.6065426309,-83.8254696227,-83.2722351306,-83.0906442568,-83.3549814473,-84.046664483,-85.0732118067,-86.3062779688,-87.6113687649,-88.8794274143,-90.0355679609,-91.0437198444,-91.8941256027,-92.6021440635,-93.1903520834,-93.6823938545,-94.0977144207,-94.4495535724,-94.7458709894,-94.9895441022,-95.1841135072,-95.3343771571,-95.4502573178,-95.5475190786,-95.6455384124,-95.7617724026,-95.9068431493,-96.0840688471,-96.2921262359,-96.528144154,-96.7877204523,-97.0644252042,-97.3493982404,-97.6300093769,-97.8880126877,-98.1010438327,-98.2409011372,-98.2718107565
Left.Ankle.Vel,0,3.461256511,6.151285644,9.448318836,13.371606873,17.927061776,23.019228172,28.135799814,32.46128504,35.064499202,34.983733865,31.548539625,24.779929174,15.625270996,5.758775676,-2.949999143,-9.255323913,-12.838671776,-14.226591399,-14.354137268,-13.931365059,-13.29310759,-12.51228917,-11.548829142,-10.434265237,-9.270245325,-8.187319931,-7.252948664,-6.432075724,-5.65143833,-4.818438196,-3.92771187,-3.048145508,-2.297966164,-1.755278597,-1.365431326,-0.970319966,-0.293243447,0.950480588,2.821534488,5.064611121,7.219232941,8.281401456,7.810730082,5.532344921,1.815908738,-2.643371905,-6.916830357,-10.265473237,-12.330661621,-13.050907961,-12.680586494,-11.561405466,-10.081518835,-8.504057583,-7.080184608,-5.882080199,-4.920417711,-4.153205662,-3.518391517,-2.96317417,-2.436731128,-1.94569405,-1.502636499,-1.158801607,-0.972617608,-0.980193338,-1.162339902,-1.450707467,-1.772256978,-2.080573888,-2.360179181,-2.595762983,-2.767047519,-2.849730362,-2.806111365,-2.580033108,-2.13031145,-1.398573045,-0.309096193
Left.Ankle.Accel,0,0,26.90029133,32.97033192,39.23288037,45.55454903,50.92166396,51.16571642,43.25485226,26.03214162,-0.80765337,-34.3519424,-67.68610451,-91.54658178,-98.6649532,-87.08774819,-63.0532477,-35.83347863,-13.87919623,-1.27545869,4.22772209,6.38257469,7.8081842,9.63460028,11.14563905,11.64019912,10.82925394,9.34371267,8.2087294,7.80637394,8.33000134,8.90726326,8.79566362,7.50179344,5.42687567,3.89847271,3.9511136,6.77076519,12.43724035,18.710539,22.43076633,21.5462182,10.62168515,-4.70671374,-22.78385161,-37.16436183,-44.59280643,-42.73458452,-33.4864288,-20.65188384,-7.2024634,3.70321467,11.19181028,14.79886631,15.77461252,14.23872975,11.98104409,9.61662488,7.67212049,6.34814145,5.55217347,5.26443042,4.91037078,4.43057551,3.43834892,1.86183999,-0.0757573,-1.82146564,-2.88367565,-3.21549511,-3.0831691,-2.79605293,-2.35583802,-1.71284536,-0.82682843,0.43618997,2.26078257,4.49721658,7.31738405,10.89476852
Left.Knee.Angle,14.1387247441,15.5103724987,17.1066827126,18.9522004118,21.0773233679,23.5158429349,26.2990921917,29.4363258896,32.9075283792,36.6656547604,40.6275230045,44.671410228,48.6417822543,52.3690344188,55.6926440072,58.4826600479,60.6453298018,62.1269717627,62.9149003392,63.0132928397,62.450339864,61.2531514897,59.47590389,57.1688747168,54.3896195704,51.1963227906,47.6448360625,43.7880726024,39.6715713768,35.3487244475,30.8767463812,26.3350168674,21.8306346815,17.5043646093,13.5192195518,10.0526917253,7.2748256153,5.3097925621,4.229702852,4.0011476749,4.5259995718,5.6791983862,7.2496643736,9.0727285716,11.0128102932,12.9640795588,14.8443792175,16.5802016471,18.103805993,19.3544158043,20.2971582634,20.9236784093,21.2552218988,21.3403731119,21.2326117497,20.9879872854,20.6462533745,20.2295506818,19.7455294833,19.1930233322,18.5695903548,17.8749305193,17.116688122,16.3070212127,15.463455224,14.6072471363,13.7622640075,12.9531037573,12.2045851334,11.5410238289,10.9838947233,10.5517920607,10.2593861263,10.1196519615,10.144052134,10.3438605374,10.7262646327,11.2936177741,12.0484851911,12.9948483669
Left.Knee.Vel,0,13.716477546,15.963102139,18.455176992,21.251229561,24.38519567,27.832492568,31.372336979,34.712024896,37.581263812,39.618682441,40.438872235,39.703720263,37.272521645,33.236095884,27.900160407,21.626697539,14.816419609,7.879285765,0.983925005,-5.629529757,-11.971883743,-17.772475997,-23.070291732,-27.792551464,-31.932967798,-35.514867281,-38.567634601,-41.165012256,-43.228469293,-44.719780663,-45.417295138,-45.043821859,-43.262700722,-39.851450575,-34.665278265,-27.7786611,-19.650330532,-10.800897101,-2.285551771,5.248518969,11.531988144,15.704659874,18.23064198,19.400817216,19.512692656,18.802996587,17.358224296,15.236043459,12.506098113,9.427424591,6.265201459,3.315434895,0.851512131,-1.077613622,-2.446244643,-3.417339109,-4.167026927,-4.840211985,-5.525061511,-6.234329774,-6.946598355,-7.582423973,-8.096669093,-8.435659887,-8.562080877,-8.449831288,-8.091602502,-7.485186239,-6.635613045,-5.571291056,-4.321026626,-2.924059344,-1.397341648,0.244001725,1.998084034,3.824040953,5.673531414,7.54867417,9.463631758
left.Knee.Accel,0,0,22.46624593,24.92074853,27.96052569,31.33966109,34.47296898,35.39844411,33.39687917,28.69238916,20.37418629,8.20189794,-7.35151972,-24.31198618,-40.36425761,-53.35935477,-62.73462868,-68.1027793,-69.37133844,-68.9536076,-66.13454762,-63.42353986,-58.00592254,-52.97815735,-47.22259732,-41.40416334,-35.81899483,-30.5276732,-25.97377655,-20.63457037,-14.9131137,-6.97514475,3.73473279,17.81121137,34.11250147,51.8617231,68.86617165,81.28330568,88.49433431,85.1534533,75.3407074,62.83469175,41.7267173,25.25982106,11.70175236,1.1187544,-7.09696069,-14.44772291,-21.22180837,-27.29945346,-30.78673522,-31.62223132,-29.49766564,-24.63922764,-19.29125753,-13.68631021,-9.71094466,-7.49687818,-6.73185058,-6.84849526,-7.09268263,-7.12268581,-6.35825618,-5.1424512,-3.38990794,-1.2642099,1.12249589,3.58228786,6.06416263,8.49573194,10.64321989,12.5026443,13.96967282,15.26717696,16.41343373,17.54082309,18.25956919,18.49490461,18.75142756,19.14957588
Right.Ankle.Angle,-89.4115887608,-88.4372149952,-87.296880166,-86.1630077506,-85.2329556806,-84.6821293148,-84.6220856025,-85.0524488995,-85.876114858,-86.958574206,-88.1651459646,-89.3840372438,-90.534148791,-91.5671028513,-92.4637840429,-93.226928044,-93.8699293904,-94.4087164526,-94.8582758265,-95.2318875054,-95.5461781287,-95.8191294064,-96.0692635068,-96.3112245927,-96.5546634299,-96.8034083758,-97.057446433,-97.3161572396,-97.5812425397,-97.855554879,-98.1410544447,-98.4372366566,-98.7419852423,-99.051027677,-99.3573854144,-99.6502764852,-99.9138611845,-100.126054509,-100.2566103789,-100.269549574,-100.1212942586,-99.7450571029,-99.0907526659,-98.0918884045,-96.6766054961,-94.7952044642,-92.4169313612,-89.564306604,-86.3286706493,-82.8779508765,-79.4551468185,-76.3376860354,-73.7917757266,-72.0061656064,-71.0792746809,-70.9552660715,-71.4840441391,-72.4551839946,-73.6701246731,-74.9815316669,-76.3046879175,-77.6026327986,-78.8620599395,-80.0769513734,-81.2441594004,-82.3643294415,-83.4444610284,-84.4946024854,-85.5211081215,-86.5178090654,-87.4623801327,-88.319343884,-89.0539540132,-89.6441354356,-90.0874268733,-90.3939182868,-90.5717788852,-90.6087323809,-90.4641305274,-90.0801909917
Right.Ankle.Vel,0,9.743737656,11.403348292,11.338724154,9.3005207,5.508263658,0.600437123,-4.30363297,-8.236659585,-10.82459348,-12.065717586,-12.188912792,-11.501115472,-10.329540603,-8.966811916,-7.631440011,-6.430013464,-5.387870622,-4.495593739,-3.736116789,-3.142906233,-2.729512777,-2.501341004,-2.419610859,-2.434388372,-2.487449459,-2.540380572,-2.587108066,-2.650853001,-2.743123393,-2.854995657,-2.961822119,-3.047485857,-3.090424347,-3.063577374,-2.928910708,-2.635846993,-2.121933245,-1.305558699,-0.129391951,1.482553154,3.762371557,6.54304437,9.988642614,14.152829084,18.814010319,23.78273103,28.526247572,32.356359547,34.507197728,34.22804058,31.174607831,25.459103088,17.856101202,9.268909255,1.240086094,-5.287780676,-9.711398555,-12.149406785,-13.114069938,-13.231562506,-12.979448811,-12.594271409,-12.148914339,-11.67208027,-11.201700411,-10.801315869,-10.50141457,-10.265056361,-9.967009439,-9.445710673,-8.569637513,-7.346101292,-5.901814224,-4.432914377,-3.064914135,-1.778605984,-0.369534957,1.446018535,3.839395357
Right.Ankle.Accel,0,0,16.59610636,-0.64624138,-20.38203454,-37.92257042,-49.07826535,-49.04070093,-39.33026615,-25.87933895,-12.41124106,-1.23195206,6.8779732,11.71574869,13.62728687,13.35371905,12.01426547,10.42142842,8.92276883,7.5947695,5.93210556,4.13393456,2.28171773,0.81730145,-0.14777513,-0.53061087,-0.52931113,-0.46727494,-0.63744935,-0.92270392,-1.11872264,-1.06826462,-0.85663738,-0.4293849,0.26846973,1.34666666,2.93063715,5.13913748,8.16374546,11.76166748,16.11945105,22.79818403,27.80672813,34.45598244,41.6418647,46.61181235,49.68720711,47.43516542,38.30111975,21.50838181,-2.79157148,-30.53432749,-57.15504743,-76.03001886,-85.87191947,-80.28823161,-65.2786677,-44.23617879,-24.3800823,-9.64663153,-1.17492568,2.52113695,3.85177402,4.4535707,4.76834069,4.70379859,4.00384542,2.99901299,2.36358209,2.98046922,5.21298766,8.7607316,12.23536221,14.44287068,14.68899847,13.68000242,12.86308151,14.09071027,18.15553492,23.93376822
Right.Hip.Angle,15.2043398655,15.2695639881,15.3193568725,15.3103829549,15.213077291,15.0120205139,14.7008557692,14.2788714607,13.7481543369,13.1153519431,12.3951247087,11.6093983515,10.7846190092,9.9470741338,9.1192026811,8.3157686545,7.5419964427,6.7925153865,6.0536463284,5.3088500729,4.5443012207,3.7523400242,2.9337442705,2.0944565779,1.2431360497,0.3884766058,-0.4618850097,-1.3017607326,-2.1263569482,-2.9331464722,-3.7206524931,-4.4888401013,-5.2378775897,-5.967004972,-6.6742465792,-7.3554722264,-8.0042938255,-8.6141656301,-9.1780120648,-9.6908845265,-10.1474004041,-10.5358239751,-10.8463342753,-11.0581366156,-11.1392784541,-11.0531126855,-10.7563752496,-10.2092140061,-9.3823230379,-8.258573122,-6.8481245518,-5.1846373685,-3.3252475198,-1.3436911158,0.6841686722,2.6876062763,4.6118407079,6.4215616484,8.0985000733,9.6370555387,11.0390536482,12.3057890305,13.4414033444,14.4465213486,15.3214600526,16.0637033509,16.6702770936,17.1352475924,17.4508140502,17.6114061711,17.6176340233,17.4788883002,17.2167103474,16.8627765983,16.458190374,16.0513645733,15.6914423002,15.4163904746,15.2474725965,15.185341091
Right.Hp.Vel,0,0.652241226,0.497928844,-0.089739176,-0.973056639,-2.010567771,-3.111647447,-4.219843085,-5.307171238,-6.328023938,-7.202272344,-7.857263572,-8.247793423,-8.375448754,-8.278714527,-8.034340266,-7.737722118,-7.494810562,-7.388690581,-7.447962555,-7.645488522,-7.919611965,-8.185957537,-8.392876926,-8.513205282,-8.546594439,-8.503616155,-8.398757229,-8.245962156,-8.06789524,-7.875060209,-7.681876082,-7.490374884,-7.291273823,-7.072416072,-6.812256472,-6.488215991,-6.098718046,-5.638464347,-5.128724617,-4.565158776,-3.88423571,-3.105103002,-2.118023403,-0.811418385,0.861657686,2.967374359,5.471612435,8.268909682,11.237499159,14.104485702,16.634871833,18.593898487,19.81556404,20.27859788,20.034376041,19.242344316,18.097209405,16.769384249,15.385554654,14.019981095,12.667353823,11.356143139,10.051180042,8.74938704,7.422432983,6.065737427,4.649704988,3.155664578,1.605921209,0.062278522,-1.387457231,-2.621779528,-3.539337491,-4.045862243,-4.068258007,-3.599222731,-2.750518256,-1.689178781,-0.621315055
Right.Hip.Accel,0,0,-1.54312382,-5.8766802,-8.83317463,-10.37511132,-11.01079676,-11.08195638,-10.87328153,-10.208527,-8.74248406,-6.54991228,-3.90529851,-1.27655331,0.96734227,2.44374261,2.96618148,2.42911556,1.06119981,-0.59271974,-1.97525967,-2.74123443,-2.66345572,-2.06919389,-1.20328356,-0.33389157,0.42978284,1.04858926,1.52795073,1.78066916,1.92835031,1.93184127,1.91501198,1.99101061,2.18857751,2.601596,3.24040481,3.89497945,4.60253699,5.0973973,5.63565841,6.80923066,7.79132708,9.87079599,13.06605018,16.73076071,21.05716673,25.04238076,27.97297247,29.68589477,28.66986543,25.30386131,19.59026654,12.21665553,4.6303384,-2.44221839,-7.92031725,-11.45134911,-13.27825156,-13.83829595,-13.65573559,-13.52627272,-13.11210684,-13.04963097,-13.01793002,-13.26954057,-13.56695556,-14.16032439,-14.9404041,-15.49743369,-15.43642687,-14.49735753,-12.34322297,-9.17557963,-5.06524752,-0.22395764,4.69035276,8.48704475,10.61339475,10.67863726
Left.Hip.Angle,-7.9690264431,-8.2789777798,-8.5272779291,-8.6933995374,-8.7480594967,-8.6532589661,-8.3648135327,-7.8447510495,-7.0698908994,-6.031049244,-4.7377993171,-3.2183305064,-1.5190798227,0.3036391839,2.1922664983,4.093543387,5.9609387844,7.7541538413,9.4394740173,10.9891221519,12.385459056,13.6176270805,14.6891518923,15.6081377041,16.3876177829,17.0410001354,17.5786215645,18.0066808131,18.3252902164,18.5348025076,18.6332799187,18.622934651,18.5125551242,18.3199170908,18.0740052582,17.8098802051,17.5652360925,17.3702492927,17.2407569299,17.1689397902,17.1295203763,17.0828465839,16.9911553999,16.8252442104,16.5689384883,16.2217413737,15.7875352295,15.2697981869,14.6689851188,13.9841456398,13.2217913831,12.3985572751,11.5426913197,10.6891462009,9.8691407746,9.1002244389,8.3843554904,7.708588207,7.0520851044,6.3921331416,5.70957003,4.9916233356,4.2337207293,3.4372939866,2.6089920911,1.7582243729,0.8960796437,0.033583355,-0.8181268568,-1.6474119839,-2.4441444278,-3.2001704861,-3.9102239305,-4.5718523737,-5.1849893522,-5.7511242549,-6.2733238281,-6.7551407224,-7.1984737209,-7.6029824485
Left.Hip.Vel,0,-3.099513367,-2.483001493,-1.661216083,-0.546599593,0.948005306,2.884454334,5.200624832,7.748601501,10.388416554,12.932499269,15.194688107,16.992506837,18.227190066,18.886273144,19.012768887,18.673953974,17.932150569,16.85320176,15.496481346,13.963369041,12.321680245,10.715248118,9.189858118,7.794800788,6.533823525,5.376214291,4.280592486,3.186094033,2.095122912,0.984774111,-0.103452677,-1.103795268,-1.926380334,-2.459118326,-2.641250531,-2.446441126,-1.949867998,-1.294923628,-0.718171397,-0.394194139,-0.466737924,-0.91691184,-1.659111895,-2.563057221,-3.471971146,-4.342061442,-5.177370426,-6.008130681,-6.84839479,-7.623542567,-8.23234108,-8.558659554,-8.535451188,-8.200054263,-7.689163357,-7.158689485,-6.757672834,-6.565031026,-6.599519628,-6.825631116,-7.179466944,-7.579026063,-7.964267427,-8.283018955,-8.507677182,-8.621447292,-8.624962887,-8.517102118,-8.292851271,-7.967324439,-7.560260583,-7.100534444,-6.616284432,-6.131369785,-5.661349027,-5.221995732,-4.818168943,-4.433329985,-4.045087276
Left.Hip.Accel,0,0,6.16511874,8.2178541,11.1461649,14.94604899,19.36449028,23.16170498,25.47976669,26.39815053,25.44082715,22.62188838,17.9781873,12.34683229,6.59083078,1.26495743,-3.38814913,-7.41803405,-10.78948809,-13.56720414,-15.33112305,-16.41688796,-16.06432127,-15.2539,-13.9505733,-12.60977263,-11.57609234,-10.95621805,-10.94498453,-10.90971121,-11.10348801,-10.88226788,-10.00342591,-8.22585066,-5.32737992,-1.82132205,1.94809405,4.96573128,6.5494437,5.76752231,3.23977258,-0.72543785,-4.50173916,-7.42200055,-9.03945326,-9.08913925,-8.70090296,-8.35308984,-8.30760255,-8.40264109,-7.75147777,-6.08798513,-3.26318474,0.23208366,3.35396925,5.10890906,5.30473872,4.01016651,1.92641808,-0.34488602,-2.26111488,-3.53835828,-3.99559119,-3.85241364,-3.18751528,-2.24658227,-1.1377011,-0.03515595,1.07860769,2.24250847,3.25526832,4.07063856,4.59726139,4.84250012,4.84914647,4.70020758,4.39353295,4.03826789,3.84838958,3.88242709
